CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
[Immediate] [10.06] [1.09] [-2.23] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [9.22] [0.27] [-4.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [7.90] [-2.01] [-6.19] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [6.22] [-5.05] [-6.19] [Integral G] X:176.65 Y:-121.64 Z:-170.18 | PC:0.00
[Immediate] [4.30] [-7.79] [-4.62] [Integral G] X:716.77 Y:-765.69 Z:-733.12 | PC:0.00
[Immediate] [2.22] [-9.44] [-1.87] [Integral G] X:1052.59 Y:-1641.02 Z:-1080.64 | PC:0.00
[Immediate] [0.06] [-9.73] [1.11] [Integral G] X:1172.50 Y:-2620.28 Z:-1129.19 | PC:1.00
[Immediate] [-1.35] [-8.83] [3.76] [Integral G] X:1094.12 Y:-3561.86 Z:-875.96 | PC:1.00
[Immediate] [-1.28] [-7.78] [5.65] [Integral G] X:961.27 Y:-4409.94 Z:-406.42 | PC:1.00
[Immediate] [-1.90] [-6.95] [6.47] [Integral G] X:806.65 Y:-5143.05 Z:221.79 | PC:2.00
[Immediate] [-3.37] [-5.52] [7.07] [Integral G] X:550.68 Y:-5775.92 Z:912.42 | PC:2.00
[Immediate] [-5.29] [-4.86] [6.21] [Integral G] X:112.50 Y:-6302.95 Z:1586.68 | PC:2.00
[Immediate] [-6.52] [-4.21] [5.34] [Integral G] X:-491.92 Y:-6757.73 Z:2167.45 | PC:3.00
[Immediate] [-7.52] [-3.52] [4.31] [Integral G] X:-1199.01 Y:-7151.02 Z:2660.92 | PC:3.00
[Immediate] [-8.90] [-1.93] [1.91] [Integral G] X:-2034.01 Y:-7432.97 Z:2979.42 | PC:3.00
[Immediate] [-9.30] [0.29] [-0.43] [Integral G] X:-2964.25 Y:-7508.62 Z:3037.57 | PC:4.00
[Immediate] [-8.90] [2.52] [-1.30] [Integral G] X:-3886.98 Y:-7363.80 Z:2939.72 | PC:4.00
[Immediate] [-7.44] [5.67] [-1.01] [Integral G] X:-4719.70 Y:-6944.78 Z:2812.45 | PC:4.00
[Immediate] [-4.67] [8.29] [0.56] [Integral G] X:-5325.43 Y:-6214.28 Z:2781.93 | PC:5.00
[Immediate] [-1.47] [9.20] [2.62] [Integral G] X:-5622.29 Y:-5315.00 Z:2960.93 | PC:5.00
[Immediate] [2.34] [8.84] [3.80] [Integral G] X:-5563.96 Y:-4388.34 Z:3286.75 | PC:5.00
[Immediate] [6.19] [6.60] [4.58] [Integral G] X:-5104.62 Y:-3615.97 Z:3736.15 | PC:6.00
[Immediate] [8.96] [4.07] [3.07] [Integral G] X:-4309.51 Y:-3099.18 Z:4131.35 | PC:6.00
[Immediate] [10.31] [1.09] [0.19] [Integral G] X:-3312.74 Y:-2857.52 Z:4300.12 | PC:6.00
[Immediate] [9.75] [-2.42] [-2.39] [Integral G] X:-2279.50 Y:-2933.50 Z:4202.47 | PC:7.00
[Immediate] [7.71] [-4.95] [-4.49] [Integral G] X:-1376.60 Y:-3297.70 Z:3860.10 | PC:7.00
[Immediate] [4.57] [-6.70] [-5.89] [Integral G] X:-734.31 Y:-3885.00 Z:3335.34 | PC:7.00
[Immediate] [0.79] [-7.44] [-6.40] [Integral G] X:-445.77 Y:-4605.02 Z:2708.17 | PC:8.00
[Immediate] [-2.89] [-7.09] [-5.90] [Integral G] X:-543.52 Y:-5347.87 Z:2078.06 | PC:8.00
[Immediate] [-6.01] [-5.93] [-4.37] [Integral G] X:-989.10 Y:-6015.44 Z:1547.32 | PC:8.00
[Immediate] [-8.29] [-3.80] [-2.12] [Integral G] X:-1715.55 Y:-6519.37 Z:1210.51 | PC:9.00
[Immediate] [-9.26] [-0.83] [-0.25] [Integral G] X:-2612.26 Y:-6760.71 Z:1099.16 | PC:9.00
[Immediate] [-8.98] [2.42] [0.48] [Integral G] X:-3542.63 Y:-6684.35 Z:1121.87 | PC:9.00
[Immediate] [-7.49] [5.63] [0.40] [Integral G] X:-4385.07 Y:-6277.24 Z:1176.88 | PC:10.00
[Immediate] [-5.05] [7.94] [-1.52] [Integral G] X:-5020.95 Y:-5576.62 Z:1131.66 | PC:10.00
[Immediate] [-2.23] [8.59] [-3.93] [Integral G] X:-5389.36 Y:-4729.15 Z:854.21 | PC:10.00
[Immediate] [1.14] [7.54] [-6.32] [Integral G] X:-5441.90 Y:-3900.12 Z:332.49 | PC:11.00
[Immediate] [4.24] [5.11] [-7.54] [Integral G] X:-5153.14 Y:-3257.11 Z:-377.62 | PC:11.00
[Immediate] [6.30] [2.02] [-7.71] [Integral G] X:-4609.53 Y:-2911.29 Z:-1161.71 | PC:11.00
[Immediate] [8.14] [-0.36] [-6.21] [Integral G] X:-3872.41 Y:-2844.86 Z:-1872.17 | PC:12.00
[Immediate] [9.51] [-1.45] [-3.71] [Integral G] X:-2966.99 Y:-2950.92 Z:-2362.80 | PC:12.00
[Immediate] [10.13] [-1.36] [-1.70] [Integral G] X:-1967.66 Y:-3101.07 Z:-2618.71 | PC:12.00
[Immediate] [10.36] [-0.36] [-0.33] [Integral G] X:-929.57 Y:-3193.72 Z:-2709.83 | PC:13.00
[Immediate] [10.35] [0.83] [0.02] [Integral G] X:117.11 Y:-3149.86 Z:-2711.11 | PC:13.00
[Immediate] [10.32] [1.08] [-0.29] [Integral G] X:1161.28 Y:-3053.51 Z:-2724.41 | PC:13.00
[Immediate] [10.14] [1.70] [-1.45] [Integral G] X:2195.18 Y:-2905.77 Z:-2803.56 | PC:14.00
[Immediate] [10.13] [1.05] [-1.98] [Integral G] X:3216.36 Y:-2754.68 Z:-2983.46 | PC:14.00
[Immediate] [10.14] [0.21] [-2.15] [Integral G] X:4240.75 Y:-2687.48 Z:-3188.43 | PC:14.00
[Immediate] [10.13] [-0.70] [-2.09] [Integral G] X:5263.62 Y:-2709.72 Z:-3409.52 | PC:15.00
[Immediate] [10.18] [-1.32] [-1.44] [Integral G] X:6288.62 Y:-2814.08 Z:-3593.49 | PC:15.00
[Immediate] [10.20] [-1.69] [-0.69] [Integral G] X:7317.95 Y:-2966.90 Z:-3704.12 | PC:15.00
[Immediate] [10.26] [-1.54] [0.08] [Integral G] X:8350.65 Y:-3135.51 Z:-3734.87 | PC:16.00
[Immediate] [10.37] [-0.40] [0.24] [Integral G] X:9392.22 Y:-3241.41 Z:-3710.16 | PC:16.00
[Immediate] [10.28] [1.01] [-0.99] [Integral G] X:10437.71 Y:-3211.03 Z:-3733.06 | PC:16.00
[Immediate] [9.90] [1.16] [-2.81] [Integral G] X:11458.63 Y:-3090.08 Z:-3923.92 | PC:17.00
[Immediate] [9.10] [0.38] [-4.79] [Integral G] X:12424.09 Y:-3003.45 Z:-4302.57 | PC:17.00
[Immediate] [7.00] [-1.85] [-7.16] [Integral G] X:13248.60 Y:-3067.04 Z:-4913.76 | PC:17.00
[Immediate] [3.88] [-4.95] [-7.78] [Integral G] X:13794.29 Y:-3421.78 Z:-5686.46 | PC:18.00
[Immediate] [0.96] [-6.71] [-7.16] [Integral G] X:14032.68 Y:-4025.19 Z:-6443.31 | PC:18.00
[Immediate] [-2.46] [-7.80] [-5.18] [Integral G] X:13953.24 Y:-4779.58 Z:-7060.20 | PC:18.00
[Immediate] [-5.79] [-6.95] [-2.89] [Integral G] X:13516.63 Y:-5534.69 Z:-7459.71 | PC:19.00
[Immediate] [-7.98] [-4.76] [-1.16] [Integral G] X:12802.60 Y:-6123.55 Z:-7658.18 | PC:19.00
[Immediate] [-9.16] [-1.63] [-0.22] [Integral G] X:11922.10 Y:-6437.82 Z:-7716.83 | PC:19.00
[Immediate] [-9.06] [2.15] [-0.01] [Integral G] X:10990.86 Y:-6392.84 Z:-7717.49 | PC:20.00
[Immediate] [-7.46] [5.72] [-0.17] [Integral G] X:10153.90 Y:-5969.08 Z:-7728.41 | PC:20.00
[Immediate] [-4.43] [8.44] [-0.56] [Integral G] X:9565.13 Y:-5224.60 Z:-7762.81 | PC:20.00
[Immediate] [-0.67] [9.59] [-1.78] [Integral G] X:9333.53 Y:-4291.75 Z:-7890.41 | PC:21.00
[Immediate] [3.79] [9.10] [-1.72] [Integral G] X:9495.13 Y:-3330.33 Z:-8073.11 | PC:21.00
[Immediate] [7.24] [7.07] [-1.33] [Integral G] X:10038.31 Y:-2489.96 Z:-8231.58 | PC:21.00
[Immediate] [9.53] [3.94] [-0.72] [Integral G] X:10885.20 Y:-1911.56 Z:-8338.98 | PC:22.00
[Immediate] [10.37] [0.53] [-0.06] [Integral G] X:11897.88 Y:-1671.16 Z:-8380.15 | PC:22.00
[Immediate] [9.87] [-3.02] [0.13] [Integral G] X:12933.54 Y:-1783.12 Z:-8369.47 | PC:22.00
[Immediate] [7.97] [-6.31] [-0.97] [Integral G] X:13850.86 Y:-2253.96 Z:-8402.73 | PC:23.00
[Immediate] [5.67] [-7.86] [-2.81] [Integral G] X:14542.68 Y:-2980.20 Z:-8587.44 | PC:23.00
[Immediate] [3.30] [-7.74] [-5.32] [Integral G] X:15006.10 Y:-3781.77 Z:-8981.72 | PC:23.00
[Immediate] [0.06] [-6.46] [-7.37] [Integral G] X:15182.36 Y:-4502.85 Z:-9638.76 | PC:24.00
[Immediate] [-2.69] [-3.42] [-8.67] [Integral G] X:15040.59 Y:-5017.03 Z:-10455.48 | PC:24.00
[Immediate] [-4.57] [-0.44] [-8.45] [Integral G] X:14676.73 Y:-5208.78 Z:-11322.75 | PC:24.00
[Immediate] [-6.50] [1.97] [-6.65] [Integral G] X:14114.22 Y:-5117.57 Z:-12094.81 | PC:25.00
[Immediate] [-7.57] [3.62] [-4.29] [Integral G] X:13392.27 Y:-4824.85 Z:-12640.30 | PC:25.00
[Immediate] [-7.93] [4.55] [-2.22] [Integral G] X:12607.93 Y:-4401.31 Z:-12962.82 | PC:25.00
[Immediate] [-8.46] [3.95] [-0.15] [Integral G] X:11780.87 Y:-3961.00 Z:-13071.05 | PC:26.00
[Immediate] [-8.65] [3.22] [1.38] [Integral G] X:10908.42 Y:-3615.17 Z:-13001.55 | PC:26.00
[Immediate] [-8.42] [2.64] [2.95] [Integral G] X:10049.26 Y:-3309.40 Z:-12773.09 | PC:26.00
[Immediate] [-8.51] [1.14] [3.62] [Integral G] X:9193.64 Y:-3121.57 Z:-12432.37 | PC:27.00
[Immediate] [-8.25] [-0.34] [4.35] [Integral G] X:8343.76 Y:-3084.07 Z:-12031.39 | PC:27.00
[Immediate] [-7.34] [-2.57] [5.22] [Integral G] X:7556.69 Y:-3237.76 Z:-11539.10 | PC:27.00
[Immediate] [-6.28] [-5.12] [4.83] [Integral G] X:6880.46 Y:-3653.52 Z:-11023.00 | PC:28.00
[Immediate] [-4.89] [-7.45] [3.29] [Integral G] X:6307.40 Y:-4291.66 Z:-10608.44 | PC:28.00
