CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.89] [-9.46] [-0.84] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [2.91] [-9.25] [2.08] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.91] [-8.33] [4.60] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [2.88] [-6.46] [6.97] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.85] [-4.06] [8.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [2.78] [-1.41] [9.46] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.71] [1.50] [9.47] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.64] [4.37] [8.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
[Immediate] [2.57] [6.72] [6.82] [Integral G] X:163.94 Y:369.57 Z:476.56 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.52] [8.53] [4.41] [Integral G] X:421.07 Y:1140.50 Z:1056.98 | PC:0.00
[Immediate] [2.47] [9.49] [1.45] [Integral G] X:673.02 Y:2055.20 Z:1363.76 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.45] [9.50] [-1.70] [Integral G] X:921.43 Y:3021.23 Z:1366.87 | PC:1.00
[Immediate] [2.45] [8.77] [-4.02] [Integral G] X:1168.49 Y:3947.08 Z:1075.38 | PC:1.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [2.46] [7.68] [-5.85] [Integral G] X:36.87 Y:116.32 Z:-86.46 | PC:1.00
[Immediate] [2.22] [7.00] [-6.71] [Integral G] X:280.92 Y:863.64 Z:-711.28 | PC:2.00
[Immediate] [-0.11] [6.49] [-7.38] [Integral G] X:406.66 Y:1532.38 Z:-1440.72 | PC:2.00
[Immediate] [-2.81] [6.07] [-7.00] [Integral G] X:243.48 Y:2168.35 Z:-2169.97 | PC:2.00
[Immediate] [-3.81] [5.85] [-6.65] [Integral G] X:-101.85 Y:2766.87 Z:-2857.72 | PC:3.00
[Immediate] [-5.28] [5.60] [-5.71] [Integral G] X:-546.01 Y:3352.47 Z:-3490.41 | PC:3.00
[Immediate] [-7.93] [3.96] [-3.12] [Integral G] X:-1225.36 Y:3839.46 Z:-3942.43 | PC:3.00
[Immediate] [-9.09] [1.85] [-0.86] [Integral G] X:-2102.98 Y:4121.86 Z:-4116.48 | PC:4.00
[Immediate] [-9.29] [-0.17] [-0.01] [Integral G] X:-3035.60 Y:4209.18 Z:-4149.75 | PC:4.00
