CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.47] [2.30] [9.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.55] [-1.11] [9.75] [Integral G] X:51.00 Y:70.41 Z:973.92 | PC:0.00
[Immediate] [0.62] [-4.43] [8.76] [Integral G] X:110.47 Y:-209.27 Z:1919.35 | PC:0.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.67] [-7.12] [6.71] [Integral G] X:176.12 Y:-800.97 Z:2706.51 | PC:1.00
[Immediate] [0.69] [-9.07] [3.68] [Integral G] X:245.20 Y:-1628.64 Z:3236.96 | PC:1.00
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.68] [-9.80] [-0.03] [Integral G] X:314.67 Y:-2592.34 Z:3424.15 | PC:1.00
[Immediate] [0.63] [-9.11] [-3.61] [Integral G] X:381.16 Y:-3557.32 Z:3238.13 | PC:2.00
[Immediate] [-0.41] [-7.29] [-6.51] [Integral G] X:410.97 Y:-4389.86 Z:2711.43 | PC:2.00
[Immediate] [-3.27] [-4.20] [-8.06] [Integral G] X:217.39 Y:-4966.57 Z:1952.59 | PC:2.00
[Immediate] [-4.98] [-0.77] [-8.15] [Integral G] X:-218.79 Y:-5199.60 Z:1124.40 | PC:3.00
[Immediate] [-5.97] [1.80] [-7.23] [Integral G] X:-774.32 Y:-5122.16 Z:342.41 | PC:3.00
[Immediate] [-7.78] [2.80] [-4.56] [Integral G] X:-1469.50 Y:-4869.28 Z:-259.61 | PC:3.00
