CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
[Immediate] [1.05] [-3.28] [9.22] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.96] [0.57] [9.80] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.87] [4.30] [8.81] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.77] [7.46] [6.34] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.70] [9.41] [2.77] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.66] [9.74] [-1.31] [Integral G] X:1.99 Y:29.28 Z:-2.66 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.67] [8.34] [-5.25] [Integral G] X:68.57 Y:965.23 Z:-307.76 | PC:0
[Immediate] [0.71] [5.39] [-8.26] [Integral G] X:137.11 Y:1687.86 Z:-981.43 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.79] [1.36] [-9.75] [Integral G] X:212.05 Y:2055.72 Z:-1897.56 | PC:1
[Immediate] [0.88] [-2.61] [-9.47] [Integral G] X:296.29 Y:2005.87 Z:-2882.98 | PC:1
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.96] [-5.46] [-8.14] [Integral G] X:389.71 Y:1600.11 Z:-3782.22 | PC:1
[Immediate] [1.02] [-7.39] [-6.43] [Integral G] X:490.27 Y:952.38 Z:-4525.89 | PC:2
[Immediate] [1.00] [-8.45] [-4.93] [Integral G] X:593.15 Y:154.36 Z:-5106.83 | PC:2
[Immediate] [0.41] [-9.12] [-3.54] [Integral G] X:678.16 Y:-729.96 Z:-5547.78 | PC:2
[Immediate] [-1.98] [-8.96] [-3.09] [Integral G] X:616.88 Y:-1653.69 Z:-5874.44 | PC:3
[Immediate] [-4.06] [-8.23] [-2.77] [Integral G] X:307.47 Y:-2524.31 Z:-6171.25 | PC:3
[Immediate] [-5.85] [-7.08] [-2.41] [Integral G] X:-183.79 Y:-3308.52 Z:-6436.10 | PC:3
[Immediate] [-7.80] [-4.89] [-1.86] [Integral G] X:-872.67 Y:-3925.13 Z:-6656.14 | PC:4
[Immediate] [-9.02] [-2.14] [-1.12] [Integral G] X:-1728.92 Y:-4284.32 Z:-6808.75 | PC:4
[Immediate] [-9.28] [0.41] [0.64] [Integral G] X:-2660.96 Y:-4369.44 Z:-6848.74 | PC:4
[Immediate] [-8.37] [2.01] [3.60] [Integral G] X:-3562.62 Y:-4236.58 Z:-6641.26 | PC:5
[Immediate] [-6.39] [1.93] [6.65] [Integral G] X:-4315.47 Y:-4030.22 Z:-6117.59 | PC:5
[Immediate] [-3.29] [1.70] [8.85] [Integral G] X:-4809.45 Y:-3846.61 Z:-5322.92 | PC:5
