CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Gyro range set to: 2000 degrees/s
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:34.20 Y:16.82 Z:-18.52 | PC:0
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:94.80 Y:46.61 Z:-51.35 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:155.40 Y:76.40 Z:-84.17 | PC:0
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:216.00 Y:106.20 Z:-117.00 | PC:1
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:276.60 Y:135.99 Z:-149.82 | PC:1
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:337.20 Y:165.79 Z:-182.65 | PC:1
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:397.80 Y:195.58 Z:-215.47 | PC:2
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:458.40 Y:225.38 Z:-248.30 | PC:2
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:519.00 Y:255.17 Z:-281.12 | PC:2
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:579.60 Y:284.97 Z:-313.95 | PC:3
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:640.20 Y:314.77 Z:-346.78 | PC:3
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:700.80 Y:344.56 Z:-379.60 | PC:3
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:761.39 Y:374.36 Z:-412.43 | PC:4
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:821.99 Y:404.16 Z:-445.26 | PC:4
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:882.59 Y:433.95 Z:-478.08 | PC:4
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:943.19 Y:463.75 Z:-510.91 | PC:5
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1003.78 Y:493.54 Z:-543.73 | PC:5
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1064.38 Y:523.34 Z:-576.56 | PC:5
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1124.98 Y:553.13 Z:-609.39 | PC:6
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1185.58 Y:582.93 Z:-642.21 | PC:6
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1246.17 Y:612.72 Z:-675.04 | PC:6
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1306.77 Y:642.51 Z:-707.87 | PC:7
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1367.37 Y:672.31 Z:-740.69 | PC:7
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1427.97 Y:702.10 Z:-773.52 | PC:7
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1488.56 Y:731.89 Z:-806.34 | PC:8
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1549.16 Y:761.69 Z:-839.17 | PC:8
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1609.76 Y:791.48 Z:-872.00 | PC:8
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1670.36 Y:821.27 Z:-904.82 | PC:9
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1730.95 Y:851.07 Z:-937.65 | PC:9
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1791.55 Y:880.86 Z:-970.48 | PC:9
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1852.15 Y:910.65 Z:-1003.30 | PC:10
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1912.75 Y:940.45 Z:-1036.13 | PC:10
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:1973.34 Y:970.24 Z:-1068.95 | PC:10
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2033.94 Y:1000.03 Z:-1101.77 | PC:11
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2094.55 Y:1029.83 Z:-1134.59 | PC:11
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2155.16 Y:1059.63 Z:-1167.41 | PC:11
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2215.77 Y:1089.43 Z:-1200.23 | PC:12
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2276.38 Y:1119.22 Z:-1233.05 | PC:12
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2336.99 Y:1149.02 Z:-1265.87 | PC:12
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2397.60 Y:1178.82 Z:-1298.69 | PC:13
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2458.21 Y:1208.62 Z:-1331.51 | PC:13
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2518.82 Y:1238.42 Z:-1364.33 | PC:13
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2579.43 Y:1268.22 Z:-1397.15 | PC:14
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2640.04 Y:1298.02 Z:-1429.97 | PC:14
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2700.65 Y:1327.82 Z:-1462.79 | PC:14
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2761.26 Y:1357.62 Z:-1495.61 | PC:15
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2821.87 Y:1387.42 Z:-1528.43 | PC:15
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2882.48 Y:1417.22 Z:-1561.25 | PC:15
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:2943.09 Y:1447.02 Z:-1594.07 | PC:16
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3003.70 Y:1476.82 Z:-1626.89 | PC:16
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3064.31 Y:1506.62 Z:-1659.71 | PC:16
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3124.92 Y:1536.42 Z:-1692.53 | PC:17
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3185.53 Y:1566.22 Z:-1725.35 | PC:17
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3246.14 Y:1596.02 Z:-1758.17 | PC:17
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3306.75 Y:1625.82 Z:-1790.99 | PC:18
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3367.36 Y:1655.61 Z:-1823.81 | PC:18
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3427.97 Y:1685.41 Z:-1856.63 | PC:18
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3488.58 Y:1715.21 Z:-1889.45 | PC:19
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3549.19 Y:1745.01 Z:-1922.27 | PC:19
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3609.80 Y:1774.81 Z:-1955.09 | PC:19
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3670.41 Y:1804.61 Z:-1987.91 | PC:20
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3731.02 Y:1834.41 Z:-2020.73 | PC:20
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3791.62 Y:1864.21 Z:-2053.55 | PC:20
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3852.23 Y:1894.01 Z:-2086.37 | PC:21
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3912.84 Y:1923.81 Z:-2119.19 | PC:21
[Immediate] [0.60] [0.29] [-0.32] [Integral G] X:3973.45 Y:1953.61 Z:-2152.01 | PC:21
