CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
[Immediate] [-9.25] [-0.54] [0.86] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [-8.06] [-1.67] [4.42] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [-5.59] [-1.65] [7.47] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [-2.16] [-1.51] [9.30] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [1.25] [-1.14] [9.71] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [5.22] [-0.48] [8.61] [Integral G] X:332.50 Y:-56.05 Z:786.44 | PC:0
[Immediate] [8.70] [0.71] [5.44] [Integral G] X:1045.80 Y:-45.55 Z:1503.33 | PC:0
[Immediate] [10.23] [0.46] [1.65] [Integral G] X:2006.15 Y:19.11 Z:1887.91 | PC:0
[Immediate] [10.21] [-0.19] [-1.93] [Integral G] X:3048.57 Y:43.02 Z:1880.24 | PC:1
[Immediate] [10.09] [-0.38] [-2.35] [Integral G] X:4067.43 Y:4.01 Z:1639.98 | PC:1
[Immediate] [10.21] [-0.14] [-1.70] [Integral G] X:5094.24 Y:-21.30 Z:1442.23 | PC:1
[Immediate] [9.91] [-0.24] [-2.91] [Integral G] X:6116.60 Y:-39.71 Z:1229.31 | PC:2
[Immediate] [8.84] [0.43] [-5.24] [Integral G] X:7073.70 Y:-44.30 Z:824.74 | PC:2
[Immediate] [7.76] [1.89] [-6.39] [Integral G] X:7911.07 Y:66.83 Z:227.39 | PC:2
[Immediate] [6.81] [4.20] [-6.30] [Integral G] X:8655.72 Y:353.55 Z:-422.40 | PC:3
[Immediate] [4.51] [7.02] [-5.62] [Integral G] X:9249.49 Y:913.07 Z:-1031.10 | PC:3
[Immediate] [1.01] [9.18] [-3.53] [Integral G] X:9535.51 Y:1741.10 Z:-1508.15 | PC:3
[Immediate] [-1.51] [9.56] [-0.56] [Integral G] X:9505.97 Y:2699.37 Z:-1717.23 | PC:4
