CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
[Immediate] [0.40] [4.09] [2.74] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [4.09] [2.74] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [4.09] [2.74] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.23] [7.54] [6.24] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.23] [7.54] [6.24] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.23] [7.54] [6.24] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.24] [7.29] [6.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.24] [7.29] [6.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.24] [7.29] [6.54] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.25] [7.02] [6.83] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.25] [7.02] [6.83] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.25] [7.02] [6.83] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.26] [6.71] [7.14] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.26] [6.71] [7.14] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.26] [6.71] [7.14] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.28] [5.99] [7.75] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.28] [5.99] [7.75] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.28] [5.99] [7.75] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.29] [5.65] [8.00] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.29] [5.65] [8.00] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.29] [5.65] [8.00] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.30] [5.33] [8.23] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.30] [5.33] [8.23] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.30] [5.33] [8.23] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
WUT id:0x241 dlc:8 remote:0 extended:0 data:0xF1 0x0 0x0 0x0 0x0 0x0 0x0 0x0 
[Immediate] [0.30] [4.99] [8.44] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.30] [4.99] [8.44] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.30] [4.99] [8.44] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.32] [4.62] [8.65] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.32] [4.62] [8.65] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.32] [4.62] [8.65] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.34] [3.92] [8.99] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.34] [3.92] [8.99] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.34] [3.92] [8.99] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.35] [3.59] [9.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.35] [3.59] [9.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.35] [3.59] [9.13] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.36] [3.24] [9.27] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.36] [3.24] [9.27] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.36] [3.24] [9.27] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.37] [2.82] [9.41] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.37] [2.82] [9.41] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.37] [2.82] [9.41] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.39] [1.90] [9.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.39] [1.90] [9.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.39] [1.90] [9.63] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [1.52] [9.70] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [1.52] [9.70] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.40] [1.52] [9.70] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.41] [1.17] [9.75] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.41] [1.17] [9.75] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.41] [1.17] [9.75] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.42] [0.79] [9.79] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.42] [0.79] [9.79] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
[Immediate] [0.42] [0.79] [9.79] [Integral G] X:0.00 Y:0.00 Z:0.00 | PC:0
