CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-0.18] [-9.52] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.04] [-9.53] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.00] B Des:7.00] Act:[0.00] [Immediate] [0.26] [-9.53] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-3.30] B Des:7.00] Act:[0.00] [Immediate] [0.39] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.90] B Des:7.00] Act:[0.00] [Immediate] [0.51] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.50] B Des:7.00] Act:[0.00] [Immediate] [0.54] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.90] B Des:7.00] Act:[0.00] [Immediate] [0.52] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.20] B Des:7.00] Act:[0.00] [Immediate] [0.47] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.40] B Des:7.00] Act:[0.00] [Immediate] [0.48] [-9.53] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-2.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.80] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.70] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.30] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.30] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.30] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.40] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.40] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-2.00] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.70] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.20] B Des:7.00] Act:[0.00] [Immediate] [0.48] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.70] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.50] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.24] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.60] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.20] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.10] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.53] [-2.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.60] B Des:7.00] Act:[0.00] [Immediate] [0.49] [-9.54] [-2.25] | PC:0
