Headin÷CAN begin OK
LSM6DS3TR-C Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 12.5 Hz
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[2.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-2.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.59] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.30] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.80] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.50] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.10] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.80] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.60] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.80] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.90] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.90] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.40] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.40] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[2.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.36] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[2.10] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.60] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.10] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.40] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.30] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[2.40] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.60] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.61] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.60] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.40] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.80] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.10] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.80] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.10] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.80] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.80] B Des:7.00] Act:[0.00] [Immediate] [-1.46] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.70] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.90] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.30] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.90] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.61] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.30] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.37] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.50] B Des:7.00] Act:[0.00] [Immediate] [-1.45] [4.39] [-8.60] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.41] [4.48] [-8.55] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-1.21] [5.01] [-8.32] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.20] B Des:7.00] Act:[0.00] [Immediate] [-1.00] [5.69] [-7.89] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.00] B Des:7.00] Act:[0.00] [Immediate] [-0.81] [6.33] [-7.40] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.40] B Des:7.00] Act:[0.00] [Immediate] [-0.81] [6.49] [-7.25] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.50] B Des:7.00] Act:[0.00] [Immediate] [-0.94] [6.36] [-7.36] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.40] B Des:7.00] Act:[0.00] [Immediate] [-1.07] [6.22] [-7.46] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.60] B Des:7.00] Act:[0.00] [Immediate] [-1.28] [6.14] [-7.48] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.90] B Des:7.00] Act:[0.00] [Immediate] [-1.40] [6.14] [-7.44] | PC:0
Heading:0.00 A Des:[0.00] Act:[-1.00] B Des:7.00] Act:[0.00] [Immediate] [-1.54] [6.13] [-7.42] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.60] B Des:7.00] Act:[0.00] [Immediate] [-1.58] [6.12] [-7.42] | PC:0
Heading:0.00 A Des:[0.00] Act:[1.20] B Des:7.00] Act:[0.00] [Immediate] [-1.55] [6.13] [-7.42] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.80] B Des:7.00] Act:[0.00] [Immediate] [-1.52] [6.13] [-7.43] | PC:0
Heading:0.00 A Des:[0.00] Act:[0.60] B Des:7.00] Act:[0.00] [Immediate] [-1.48] [6.14] [-7.44] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.40] B Des:7.00] Act:[0.00] [Immediate] [-1.49] [6.13] [-7.43] | PC:0
Heading:0.00 A Des:[0.00] Act:[-0.40] B Des:7.00] Act:[0.00] [Immediate] [-1.50] [6.13] [-7.43] | PC:0
Heading:-0.04 A Des:[-0.28] Act:[-0.40] B Des:6.99] Act:[0.00] [Immediate] [-1.50] [6.13] [-7.43] | PC:1
Heading:-0.04 A Des:[-0.28] Act:[0.00] B Des:6.99] Act:[0.00] [Immediate] [-1.49] [6.13] [-7.43] | PC:1
Heading:-0.04 A Des:[-0.30] Act:[0.20] B Des:6.99] Act:[0.00] [Immediate] [-1.49] [6.14] [-7.43] | PC:2
Heading:-0.04 A Des:[-0.30] Act:[1.00] B Des:6.99] Act:[-0.70] [Immediate] [-1.49] [6.14] [-7.44] | PC:2
Heading:0.00 A Des:[0.02] Act:[-0.10] B Des:7.00] Act:[0.50] [Immediate] [-1.49] [6.14] [-7.43] | PC:3
Heading:0.00 A Des:[0.02] Act:[1.10] B Des:7.00] Act:[1.70] [Immediate] [-1.48] [6.16] [-7.42] | PC:3
Heading:-0.04 A Des:[-0.26] Act:[0.90] B Des:7.00] Act:[-3.90] [Immediate] [-1.48] [6.19] [-7.39] | PC:4
Heading:-0.04 A Des:[-0.26] Act:[-1.00] B Des:7.00] Act:[1.20] [Immediate] [-1.48] [6.25] [-7.34] | PC:4
Heading:-0.09 A Des:[-0.64] Act:[-2.70] B Des:6.97] Act:[2.90] [Immediate] [-1.48] [6.30] [-7.29] | PC:5
Heading:-0.09 A Des:[-0.64] Act:[0.40] B Des:6.97] Act:[2.20] [Immediate] [-1.45] [6.43] [-7.20] | PC:5
Heading:-0.04 A Des:[-0.29] Act:[1.90] B Des:6.99] Act:[0.50] [Immediate] [-1.42] [6.59] [-7.06] | PC:6
Heading:-0.04 A Des:[-0.29] Act:[0.70] B Des:6.99] Act:[2.50] [Immediate] [-1.33] [7.01] [-6.67] | PC:6
Heading:-0.13 A Des:[-0.89] Act:[2.30] B Des:6.94] Act:[3.90] [Immediate] [-1.26] [7.40] [-6.25] | PC:7
Heading:-0.13 A Des:[-0.89] Act:[0.60] B Des:6.94] Act:[4.50] [Immediate] [-1.16] [8.04] [-5.40] | PC:7
Heading:-0.08 A Des:[-0.54] Act:[-0.80] B Des:6.98] Act:[3.10] [Immediate] [-1.09] [8.42] [-4.82] | PC:8
